Mehran University of Engineering and Technology,3870,1293,20,Jamshoro,1568
Mirpur University of Science and Technology ,6894,2635,85,Materials Science,730
Mohammad Ali Jinnah University,6309,2359,67,Karachi,829
National College of Business Administration and Economics ,6988,2680,87,Lahore,529
National Defence University,4569,1597,28,Islamabad,942
National Textile University ,6428,2414,73,Faisalabad,819
National University of Computer and Emerging Sciences,3011,953,11,Islamabad,2087
National University of Modern Languages,5731,2108,56,Islamabad,724
National University of Sciences and Technology,3463,1125,14,Islamabad,2971
NED University of Engineering and Technology,3755,1248,18,Karachi,1251
Pakistan Institute of Development Economics,5537,2025,54,Islamabad,574
Pakistan Institute of Engineering and Applied Sciences,4824,1704,34,Islamabad,2159
Pir Mehr Ali Shah Arid Agriculture University,4940,1760,37,Rawalpindi,2228
Preston University ,7062,2714,89,Kohat,228
Quaid e Awam University of Engineering  Science and Technology ,6866,2620,84,Nawabshah,426
Quaid I Azam University,2014,592,3,Islamabad,13401
Rawalpindi Medical University ,6383,2389,71,Rawalpindi,617
Riphah International University,4844,1714,35,Islamabad,2318
Sarhad University of Science and Information Technology ,6558,2482,79,Peshawar,448
Shah Abdul Latif University ,6481,2442,74,Khairpur,468
Shaheed Benazir Bhutto Women University ,7430,2888,99,Peshawar,240
Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology,5108,1834,42,Karachi,862
Sindh Agriculture University,6102,2271,62,Tando Jam,765
Sindh Madresatul Islam University ,7126,2745,91,Karachi,144
Sir Syed University of Engineering and Technology ,6897,2637,86,Karachi,359
Sukkur Institute of Business Administration,6090,2263,61,Sukkur,780
University of Agriculture  Faisalabad,2122,624,5,Faisalabad,20228
University of Agriculture Peshawar,6272,2343,65,Peshawar,1198
University of Azad Jammu and Kashmir,6367,2381,69,Kashmir,1082
University of Balochistan,5251,1903,46,Quetta,892
University of Central Punjab,4266,1462,26,Lahore,1096
University of Education Pakistan,5389,1968,50,Lahore,972
University of Engineering and Technology Lahore,2401,719,7,Lahore,6810
University of Engineering and Technology Peshawar,5060,1813,40,Peshawar,1500
University of Engineering and Technology Taxila,4774,1685,31,Taxila,1662
